Question,Answer
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
Subject: 4 Semester Syllabus (Semester Semester) (General),
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),Subject: Computer Network Subject Code: B127471(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT– I: INTRODUCTION:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Network applications, network hardware, network software, reference models: OSI, TCP/IP, Internet, Connection"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"oriented network - X.25, frame relay. THE PHYSICAL LAYER: Theoretical basis for communication, guided"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"transmission media, wireless transmission, the public switched telephone networks, mobile telephone system."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),UNIT– II: THE DATA LINK LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Design issues, error detection and correction, elementary data link protocols, sliding window protocols, example data"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"link protocols - HDLC, the data link layer in the internet. THE MEDIUM ACCESS SUBLAYER: Channel allocations"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"problem, multiple access protocols, Ethernet, Data Link Layer switching, Wireless LAN, Broadband Wireless,"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Bluetooth.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),UNIT– III: THE NETWORK LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"Network layer design issues, routing algorithms, Congestion control algorithms, Internetworking, the network layer in"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"the internet (IPv4 and IPv6), Quality of Service."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT– IV: THE TRANSPORT LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"Transport service, elements of transport protocol, Simple Transport Protocol, Internet transport layer protocols: UDP"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),and TCP.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT– V: THE APPLICATION LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Domain name system, electronic mail, World Wide Web: architectural overview, dynamic web document and http."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"APPLICATION LAYER PROTOCOLS: Simple Network Management Protocol, File Transfer Protocol, Simple Mail"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"Transfer Protocol, Telnet."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),TEXT BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"1. A. S. Tanenbaum (2003), Computer Networks, 4th edition, Pearson Education/ PHI, New Delhi, India."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),REFERENCE BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"1. Behrouz A. Forouzan (2006), Data communication and Networking, 4th Edition, McGraw-Hill, India."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"2. Kurose, Ross (2010), Computer Networking: A top down approach, Pearson Education, India."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Page 1 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Subject: Artificial Intelligence: Principles and Applications Subject Code: B127472(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Prerequisites: Basic concepts in design of algorithms, including hashing, sorting, searching, and complexity analysis of"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),algorithms.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),1. Fundamental Issues in Intelligent Systems
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),a. Describe Turing test and Chinese Room Thought Experiment
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),b. Definitions of AI; Difference between optimum reasoning/behavior and human-like
What is covered in 4 Semester Syllabus (Semester Semester)? (General),behavior/reasoning
What is covered in 4 Semester Syllabus (Semester Semester)? (General),2. Basic Search Strategies
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),a. Formulate efficient problem/search spaces for a number of problems
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),b. Combinatorial explosion of search spaces in most problems of interest
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"c. Usefulness of heuristics, completeness, optimality, time/space complexity during search"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),d. Uninformed search algorithms
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"e. Informed Search Algorithms, admissibility, monotonicity, Design a solution using A* search"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),"f. Constraint satisfaction problems, algorithms for their solution"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"g. Game playing and game tree search, minimax, alpha-beta search"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),h. Intro to Game Theory
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"i. Genetic Algorithms as search, hill climbing, simulated annealing, gradient descent as paradigms"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),for search
What is covered in 4 Semester Syllabus (Semester Semester)? (General),3. Basic Knowledge Representation
What is covered in 4 Semester Syllabus (Semester Semester)? (General),a. Introduction to First Order Predicate Calculus (FOPC)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),b. Representation of simple English sentences in FOPC
What is covered in 4 Semester Syllabus (Semester Semester)? (General),c. Convert FOPC formulas into clauses
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),"d. Inference rules for FOPC, Resolution, Resolution-refutation, answer-extraction"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),4. Reasoning with uncertainty
What is covered in 4 Semester Syllabus (Semester Semester)? (General),a. Probabilistic reasoning
What is covered in 4 Semester Syllabus (Semester Semester)? (General),b. Bayes theorem
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),c. Bayesian Networks
What is covered in 4 Semester Syllabus (Semester Semester)? (General),d. Temporal Probability Models; Hidden Markov Models
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),e. Fuzzy sets and reasoning
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),5. Basic Machine Learning
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"a. Differences between supervised, unsupervised, and reinforcement learning"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),b. Classification tasks
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"c. Naïve Bayes classifier, overfitting, performance of a classifier"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"d. Introduction to clustering, scalability issues in learning"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"e. Descriptive Data Summarization; Central tendency (Mean, median, mode), measures of dispersion"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"(variance, box-plots, quartiles, normal and skewed distributions)."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),6. Reinforcement Learning
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Page 2 of 137. Data Visualization
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"a. Visualization of data dispersion, box-plot analysis, quantile-plot, quantile-quantile plots, scatter"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),"plot, simple regression, Loess curve fitting, demo for these ideas using available standard"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),toolboxes.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"b. Visual exploration and analysis of spatial, temporal, multidimensional relational data."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Text Book:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"(cid:120) Artificial Intelligence – A Modern Approach, 3rd edition. Author: Stuart Russell and Peter Norvig,"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Publisher: Prentice Hall.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Page 3 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),Subject: Operating System Subject Code: B127473(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – I: INTRODUCTION
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Operation System objective and function, The Evolution of operating Systems, time sharing and real time"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Systems, Protection. Operating System Structure, System Components, operating system service, System structure."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Distributed Computing, The Key Architecture Trend; Parallel Computation."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – II: CONCURRENT PROCESSES
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Process concept: Introduction, Definitions of “Process”, Process States, Process State Transitions, The process"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"Control Block, Operations on Processes, Interrupt Processing. Mutual Exclusion, the Producer / Consumer problem,"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"the critical section problem, Semaphores, Classical problems in concurrency, inter process communication."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Asynchronous Concurrent Process: introduction, parallel Processing, A Control Structure for indicating parallelism."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"CPU scheduling: concepts, performance criteria, and scheduling Algorithms. Algorithm evaluation, Multiprocessor"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),scheduling.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),UNIT – III: DEADLOCKS
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"System model, Deadlock characterization. Prevention, Avoidance and Detection, Recovery from deadlock, Combined"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),approach.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),UNIT – IV: MEMORY MANAGEMENT
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Base machine, resident Monitor, multiprogramming with fixed partition, Multiprogramming with variable"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Partitions, Paging, Segmentation, paged - segmentation, virtual Memory concepts, Demand paging, performance, page"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Replacement algorithms, Allocation of frames, Thrashing, cache memory organization impact on performance."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),UNIT – V: I/O MANAGEMENT &DISK SCHEDULING
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"I/O device and the organization of the I/O function, I/O Buffering, Disk I/O, Operating system Design issues."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),File system: File Concepts – File organization and Access mechanism.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Text Books/ Reference Books:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"1. Operating System concepts by Silberscatz A and Peterson, J.L, PE-LPE."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"2. Operating System Design & Implementation by Tanenbaum, A.S., PHI."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"3. Operating system concepts Galvin by Silberscatz, John Weiley & Sons."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"4. Operating systems by H.M. Deital, Pearson Education."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"5. Operating System in Depth Design and Programming by Thomas Doeppner, Wiley India."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"6. Operating System Concept & Design, Milenkovic M, McGraw Hill."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"7. Operation System, Stalling William, Maxwell MCMillan International Editions."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Page 4 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Subject: Theory of Computation Subject Code: B127474(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – I:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Introduction: Automata, Computability, and Complexity, Strings and languages: symbol, alphabet, string/ word."
