Question,Answer
What is covered in 5 Semester Syllabus (Semester Semester)?,"Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
Subject: 5 Semester Syllabus (Semester Semester),
What is covered in 5 Semester Syllabus (Semester Semester)?,Subject: Pattern Recognition and Machine Learning Subject Code: C128571(022)
What is covered in 5 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 5 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 5 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-I: Probability Theory and Statistics
What is covered in 5 Semester Syllabus (Semester Semester)?,"Probability theory, Bayesian probabilities, Probability densities, Skewness and Kurtosis, Expectations and"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Covariances, Multivariate Gaussian Distribution, Combination of Random Variables; Moment Estimation,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Estimating the mean and variance, Law of Large Numbers; Measure Theory, Multiple Dimensional Spaces,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Metric Space, Normed Vector Space, Dot Product Space, Pre-Hilbert and Hilbert; Decision Theory,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Minimizing the misclassification rate, Minimizing the expected loss, Inference and Decision, Loss functions"
What is covered in 5 Semester Syllabus (Semester Semester)?,for regression.
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-II: Parameter Estimation
What is covered in 5 Semester Syllabus (Semester Semester)?,"Maximum Likelihood Estimation, Maximum A-Posteriori (MAP) Estimation, Maximum Entropy"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Estimation, Minimum Relative Entropy Estimation, Maximum Mutual Information Estimation (MMIE);"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Model Selection, Akaike Information Criterion (AIC)Bayesian Information Criterion (BIC)."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-III: Parameter Classification
What is covered in 5 Semester Syllabus (Semester Semester)?,"Linear Models for Classification, Discriminant Functions, Two classes, Multiple classes, Least squares for"
What is covered in 5 Semester Syllabus (Semester Semester)?,"classification, Fisher’s linear discriminant, Relation to least squares, Fisher’s discriminant for multiple"
What is covered in 5 Semester Syllabus (Semester Semester)?,"classes, The perceptron algorithm; Probabilistic Generative Models, Continuous inputs, Maximum"
What is covered in 5 Semester Syllabus (Semester Semester)?,"likelihood solution, Discrete features, Exponential family; Probabilistic Discriminative Models."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-IV: Clustering and Learning
What is covered in 5 Semester Syllabus (Semester Semester)?,"Learning Algorithms, Risk Minimization, Empirical Risk Minimization, Capacity and Bounds on Risk,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Structural Risk Minimization; Decision and Regression Trees, Vector Quantization (VQ); Basic Clustering"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Techniques, Standard k-Means (Lloyd) Algorithm, Generalized Clustering, Merging, Modifications to the k-"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Means Algorithm, k-Means Wrappers, Rough k-Means, Fuzzy k-Means, k-Harmonic Means Algorithm,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Hybrid Clustering Algorithms; Estimation using Incomplete Data, Expectation Maximization (EM); Semi-"
What is covered in 5 Semester Syllabus (Semester Semester)?,Supervised Learning.
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-V: Kernel Methods and Support Vector Machines
What is covered in 5 Semester Syllabus (Semester Semester)?,"The Two-Class Problem, Dual Representation, Soft Margin Classification; Origins of Kernel methods,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Kernel Mapping, The Kernel Trick; Constructing Kernels, Support Vector Machines: Formulation and"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Computation; Radial Basis Function Networks; Positive Semi-Definite Kernels, Linear Kernel, Polynomial"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Kernel, Gaussian Radial Basis Function (GRBF) Kernel, Cosine Kernel, Fisher Kernel, GLDS Kernel,"
What is covered in 5 Semester Syllabus (Semester Semester)?,GMM-UBM Mean Interval (GUMI) Kernel.
What is covered in 5 Semester Syllabus (Semester Semester)?,TEXT BOOKS:
What is covered in 5 Semester Syllabus (Semester Semester)?,"1. Kevin P. Murphy, “Machine Learning: A Probabilistic Perspective”, MIT Press, 2012."
What is covered in 5 Semester Syllabus (Semester Semester)?,"2. Stephen Marsland, “Machine Learning –An Algorithmic Perspective”, CRC Press, 2009."
What is covered in 5 Semester Syllabus (Semester Semester)?,"3. SaikatDutt, Subramanian Chandramouli, Amit Kumar Das, “Machine Learning”, Pearson Education,"
What is covered in 5 Semester Syllabus (Semester Semester)?,2018.
What is covered in 5 Semester Syllabus (Semester Semester)?,"4. Christopher Bishop, “Pattern Recognition and Machine Learning” Springer, 2011."
What is covered in 5 Semester Syllabus (Semester Semester)?,Page 1 of 13REFERENCE BOOKS :
What is covered in 5 Semester Syllabus (Semester Semester)?,"1. Andreas C. Muller, “Introduction to Machine Learning with Python: A Guide for Data Scientists”,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"O'Reilly, 2016."
What is covered in 5 Semester Syllabus (Semester Semester)?,"2. Sebastian Raschka, “Python Machine Learning”, Packt Publishing, 2015."
What is covered in 5 Semester Syllabus (Semester Semester)?,"3. Hastie, Tibshirani, Friedman, “The Elements of Statistical Learning: Data Mining, Inference,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"andPrediction”,2nd Edition, Springer, 2017."
What is covered in 5 Semester Syllabus (Semester Semester)?,"4. EthemAlpaydin, “Introduction to Machine Learning”, 2nd Revised edition, MIT Press,2010."
What is covered in 5 Semester Syllabus (Semester Semester)?,"5. Pattern Recognition and Machine Learning, Christopher M. Bishop, Springer."
What is covered in 5 Semester Syllabus (Semester Semester)?,"6. Machine Learning with SVM and other Kernel methods, K.P. SomanR.Loganathan, V.Ajay, PHI"
What is covered in 5 Semester Syllabus (Semester Semester)?,Learning Private Limited.\
What is covered in 5 Semester Syllabus (Semester Semester)?,"7. Machine Learning, Tom Mitchell, McGraw Hill, 1997."
What is covered in 5 Semester Syllabus (Semester Semester)?,"8. Fundamentals of Speaker Recognition, HomayoonBeigi, Springer."
What is covered in 5 Semester Syllabus (Semester Semester)?,E BOOKS:
What is covered in 5 Semester Syllabus (Semester Semester)?,1. https://www.ibm.com/downloads/cas/GB8ZMQZ3
What is covered in 5 Semester Syllabus (Semester Semester)?,MOOC:
What is covered in 5 Semester Syllabus (Semester Semester)?,1. https://www.edx.org/course/machine-learning-fundamentals-2
What is covered in 5 Semester Syllabus (Semester Semester)?,2. https://www.coursera.org/learn/machine-learning
What is covered in 5 Semester Syllabus (Semester Semester)?,"Page 2 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
